kod_consumer;name_consumer;kod_grp;kod_seti;kod_rem;kod_otr;kod_podotr
73403100;"КП ""Вінницятеплоенерго""";31;7;734;50;51
73403200;Освітлення;32;7;734;52;52
73404000;Сільгоспспоживачі;40;7;734;44;44
73404001;"СВАТ ""Облплемпідприємство";40;7;734;44;44
73404002;"ТОВ""Аграна Фрут Лука""";40;7;734;44;44
73404005;Подільська дослідна ст-я;40;7;734;44;44
73410400;"РВУ ""Київавтогаз""";104;7;734;45;48
73410401;" ПАТ ""К. Галнафтогаз"" ";104;7;734;45;48
73410402;"ДП ""ВЛГ""  ";104;7;734;45;48
73414500;"ТОВ ""АВА-1""";145;7;734;29;62
73415000;"ТОВ ""Конкорд-5""";150;7;734;35;35
73415001;"ТОВ ""ЛІМОФЛЬОР""  ";150;7;734;35;35
73415200;Стрижавський кар'єр;152;7;734;36;63
73415201;"ПП ""Комп. ""Волод. масив""";152;7;734;36;36
73415202;"ТОВ ""Обеліск""";152;7;734;36;63
73415203;ПП Бойдаченко;152;7;734;36;63
73415204;"ПМП ""Геліка""";152;7;734;35;35
73415205;"ТОВ""ЕГО""";152;7;734;35;35
73415206;"ТОВ ""Авангард-5""";152;7;734;36;63
73415207;"ППФ  ""Сітійрон""";152;7;734;36;63
73415208;"ТОВ ""Рось-Вінниця""   ";152;7;734;36;63
73417600;ннн;176;7;734;41;65
73417601;"ТОВ ""Ковінько - ковбаси""";176;7;734;41;65
73417602;"ТОВ ""Тредіс""";176;734;7;41;65
73430000;ПП Бенкалюк О.В.;300;7;734;41;65
73430001;"ТОВ ""Торговий дім ""ТВМ""";300;7;734;41;42
73430002;Вінницямолоко;300;7;734;41;65
73430003;ПП Медяний М.Л.;300;7;734;29;62
73430004;"Птахофабрика ""Поділля""";300;7;734;44;44
73430006;"ТОВ ""Бета-В""";300;7;734;41;65
73430007;"ПП ""Михалич і Ко""";300;7;734;41;65
73430008;"ФОП ""Берченко М.М.";300;7;734;45;66
73430009;ПП Щерба В.Л.;300;7;734;41;65
73430010;ФОП Бондарук Ю.В.;300;7;734;41;65
73430011;"ПП ""Зерно""";300;7;734;41;65
73430012;ннн;300;7;734;29;62
73430013;"ТОВ ВП ""Надія-В""";300;7;734;41;65
73430014;ннн;300;7;734;44;44
73430015;ПП Деркач Т.Г.;300;7;734;41;65
73430016;ннн;300;7;734;41;65
73430017;"ПП ""Авача""";300;7;734;41;65
73430018;ннн;300;7;734;41;65
73430019;ннн;300;7;734;41;65
73430020;ннн;300;7;734;41;65
73433600;"ТОВ ""ВКХП №2""";336;7;734;43;43
73433601;ннн;336;7;734;41;65
73433602;ннн;336;7;734;43;43
73434501;"ТОВ ""КЕДР - ВІТАЛЛ""";345;734;7;35;35
73436800;ннн;368;7;734;36;63
73436801;Немирів ДЕД;368;7;734;43;43
73438000;"ТОВ ""МЕДІКОР""";380;7;734;45;66
73438001;"ТОВ ""Газ""";380;7;734;43;43
73438002;"ТОВ ""ЕККО-ГРУПП""";380;7;734;43;43
73438003;ТОВ Інтер - Трейд;380;7;734;43;43
73438200;ннн;382;7;734;41;65
73441200;ННН;412;7;734;29;34
73441201;СВК №81  ;412;7;734;52;52
73442200;"ТОВ ""Вінфлекс""";422;7;734;43;43
73444000;"Концерн ""Поділля""";440;7;734;49;49
73444001;"ТОВ ""ВРХК""";440;7;734;49;49
73472100;"ВАТ ""УМІА""";721;7;734;45;66
73472101;"ТОВ ""Євро-2012""";721;734;7;45;66
73473001;"ТОВ ""Шляхбуд""";730;7;734;36;63
73473002;Філ.Агропромшляхбудінд-ія;730;7;734;36;63
73473003;"ТОВ Авт.група ""Богдан""";730;7;734;36;63
73489900;ФОП Гладько Н.В.;899;7;734;50;67
73489901;"ТОВ ""Фірма ""Віка-С""";899;7;734;50;67
73489902;"ТОВ ""БЕЛ ОІЛ""";899;7;734;45;66
73489903;Госпрозрах. об'єд. ринків;899;7;734;50;67
73489904;ннн;899;7;734;45;66
73489905;ННН;899;7;734;45;66
73489906;КЕВ м.Він. в/ч-4610 с.Бох;899;7;734;52;52
73489907;в/ч А-1459 с.Медв.Вушко;899;7;734;52;52
73489908;ДНЗ Вище проф. уч.№7;899;7;734;52;52
73489909;в/ч А-1231 с.Гавришівка;899;7;734;52;52
73489910;Він.облпсихлікарня №7;899;7;734;52;52
73489911;ПП Прилуцький В.Ю.;899;7;734;43;43
73489912;"ВОСТМО ""Фтизіатрія""";899;7;734;52;52
73489913;ННН;899;7;734;43;43
73489914;В/ч 0549;899;7;734;52;52
73489915;"ТОВ ""Украфлора-Вінниця""";899;7;734;44;44
73489916;ННН;899;7;734;29;62
73489917;"""Концерн Галнафтогаз""";899;7;734;29;62
73489918;ННН;899;7;734;43;43
73489919;"ТОВ УПП ""Евромед""";899;7;734;52;52
73489920;ннн;899;7;734;43;43
73489921;"ДП НЕК ""Укренерго""";899;7;734;43;43
73489922;ННН;899;7;734;52;52
73489923;ННН;899;7;734;52;52
73489924;ННН;899;7;734;52;52
73489925;ФОП Крисько Л.Д.;899;7;734;50;67
73489926;ННН;899;7;734;52;52
73489927;ННН;899;7;734;52;52
73489928;ННН;899;7;734;52;52
73489929;ННН;899;7;734;52;52
73489930;ННН;899;7;734;52;52
73489931;ННН;899;7;734;52;52
73489932;"ТОВ ""ВестОйлГруп""";899;734;7;50;67
73501100;Власне споживання;11;7;735;10;10
73501200;Корисний відпуск;12;7;735;17;17
73501700;Втрати в мережах;17;7;735;15;15
73503200;Освітлення;32;7;735;52;52
73504000;Сільгоспспоживачі;40;7;735;44;44
73515200;ннн;152;7;735;36;63
73515300;"ПП ""Інтертекст""";153;7;735;39;64
73530000;"ТОВ ""Агропослугтрансервіс";300;7;735;29;62
