kod_consumer	name_consumer	kod_grp	kod_seti	kod_rem	kod_otr	kod_podotr
153501600	Виробничі потреби	16	15	1535	16	16
153501700	Втрати в мережах	17	15	1535	15	15
153503200	Освітлення і побут	32	15	1535	52	52
153504000	Сільгоспспоживачі	40	15	1535	44	44
153512200	Приладобудівний завод	122	15	1535	29	62
153589900	Упр.меліорат. с-м	899	15	1535	52	52
153701100	Власне  споживання	11	15	1537	10	10
153701200	Корисний відпуск	12	15	1537	17	17
153701600	Власні потреби	16	15	1537	16	16
153701700	Втрати в мережах	17	15	1537	15	15
153703200	Освітлення і побут	32	15	1537	52	52
153704000	Сільгоспспоживачі	40	15	1537	44	44
153715200	"Оратів ""Агромаш"""	152	15	1537	29	62
153715201	"ТОВ ""Агробуд"""	152	15	1537	29	62
153730001	"ТОВ ""Серволюкс"""	300	15	1537	41	65
153733600	"ТОВ ""Воїнське ХПП"""	336	15	1537	43	43
153789900	Оратів ЦРЛ	899	15	1537	52	52
153789902	"ПАТ""Укртелеком"""	899	15	1537	52	52
